Model,MAE,RMSE,WMAPE
Random Forest,2.0678535492079937,6.09860581215736,35.04308567988239
XGBoost,2.075496196746826,6.071723764119497,35.172603215274805
Baseline (lag_1),3.6805925925925926,10.5524580250466,62.37352815646104
Ridge Regression,4.0652149692716915,8.388709111430355,68.89156948754467
