model,MAE,MAPE_%
random_forest,0.5855884993134437,17252831054.37094
xgboost,0.5954710841178894,17631512663.30856
baseline_lag1,0.8583703703703703,23037037065.905643
ridge,2.068644699743858,140245253168.88867
